UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
000000000857,Far Niente,Far Niente Cabernet Sauvignon ,Cabernet Sauvignon,Napa,1997,85.00,,86,,"Dark ruby-colored with purple nuances, this compressed, tightly-knit, austere Cabernet Sauvignon offers up straightforward aromas of black currant fruit, loamy earth, and new oak. Firm, with high tannin, medium body, and moderate concentration, it requires cellaring. Will it ever shed enough tannin to become harmonious? It is a gamble. Anticipated maturity: 2002-2012? ",750ml
0000000083898,Niebaum Coppola,,Cabernet Sauvignon Blend,Napa,1999,87,,,,,750ml
000000016759,Vineyard 29,Aida,Cabernet Sauvignon,Napa,2001,45,,WS 88,,,750ml
000000016957,Anderson's Conn Valley Vineyards,Esate Reserve,Cabernet Sauvignon,Napa,2003,25,,,,,750ml
000000022125,Chiarello,Eileen,Cabernet Sauvignon,Napa,2004,,,93,,,750ml
0000000268073,Heathcote Winery,,Shiraz,Australia,2003,20,,,,,750ml
000000029353,Chateau Les Tours Seguy,,Bordeaux,France,2000,7.99,,,,,750ml
0000000306737,Au Bon Climat,Au Bon Climat,Pinot Noir,Bay Area/Central Coast,2000,,,,,,
000000033305,Behrens & Hitchcock,,Merlot,Napa,1997,,,,,,750ml
0000000602006,Behrens & Hitchcock,St. Croix,Red,Napa,2003,,,,,,750ml
000000070669,Chateau Guibot,La Fourvielle,Bordeaux,France,2000,13.99,,,,,750ml
000000073455,Clos de la Vieille Eglise ,Clos l' Eglise,Bordeaux,"Pomerol, Bordeaux",2000,24.99,,86-87,,"There is a lot going on in this wine in terms of a velvety texture, excellent concentration, and a saturatedruby/purple color. However, the overlay of new oak is excessive, and the wine has an international style rather than one that could be quickly identified as a Pomerol. Nevertheless, it is cleanly made and very good, if somewhat oaky. Anticipated maturity: 2003-2012. ",750ml
000000079037,Frederic Esmonin,Griottes Chambertin,Pinot Noir,Burgundy,1996,60,,,,,750ml
000000085830,Chateau Robin,Cotes de Castillon,Bordeaux,Bordeaux,2000,,,,,,750ml
000000093309,Hatcher Winerworks,A to Z,Pinot Noir,Oregon,2001,14.99,,,,,750ml
000000124225,Kilikanoon Wines,Killerman's Run Sybarites,Sauvignon Blanc,New Zealand,2002,18,,,,,
000000143394,Canto Perdrix,Rose,Gamay,Tavel,2003,25.00,,,,,750ml
000000174473,Rias Baixas,Pazo Senorans Albarino,White Wine,Spain,2003,,,,,,750ml
000000174787,Joachim Heger,Trocken Qualitätswein B. A.,Pinot Gris,"Baden, Germany",2001,15.79,,,,From Central Market,750ml
000000195829,Silver Oak,Cabernet Sauvignon,Cabernet Sauvignon,Napa,1992,135,,,,"dark ruby-red to garnet color. It has the classic Silver Oak nose of cassis, blackberry jam, violets, chocolate, roasted coffee and ginger. This wine is full and rich in the mouth with a very long, slightly tannic finish",750ml
000000195881,Chateau Moulin de Tricot,,Bordeaux,Bordeaux,2002,,,,,,750ml
000000216463,,La Gaffeliere St Emilion,Bordeaux,St.-Emilion,1999,54.,,,,,
000000218214,,Lynch Moussas Pauillac,Bordeaux,Bordeaux,2002,34.,,,,,750ml
000000270786,Skouras,Cuvee Larsinos,Voignier,Peloponnese,2002,15.75,,,,,750ml
000000356237,Fisher Vineyards,Coach Insignia,Cabernet Sauvignon Blend,Napa,2001,,,,,,750ml
000000628655,Origin,Paramount,Cabernet Sauvignon,Napa,2002,45,,WS 92,,,750ml
000000633543,Chiarello,Bambino,Cabernet Sauvignon,Napa,2004,,,91 WS,,,750ml
000000639637,Domaine,Domaine Les Aphillanthes Cotes Du Rhone Villages,,Cotes-du-Rhone,2000,15,,,,,
0000006500991,"Buchignani, Saini, Faloni",Mauritson Growers Reserve,,Dry Creek Valley,2003,,,,,,750ml
000000650212,Chateau Grand-Pontet,,Bordeaux,St.-Emilion,1998,,,WS 91,,,
000000767668,Chateau Clinet,,Cabernet Sauvignon Blend,Pomerol,1999,0,,,http://www.chateauclinet.com,,750ml
000000856614,Torbreck,Torbreck Barossa Valley,White Blend,Barossa Valley,2002,30.99,,,http://www.torbreck.com,,750ml
000000949392,,Gary Farrell,Zinfandel,Sonoma,2002,1,,,,,750ml
000000965521,Behrens & Hitchcock,Arcuturs,Cabernet Sauvignon Blend,Napa,2001,,,,,,750ml
000000991056,,Limerick Lane,Syrah,Sonoma,2000,,,,,,750ml
000001000001,Dashe Cellars,Merlot Potter Valley,Merlot,California,2003,28.35,,,,,750ml
000001010862,Sinskey,Four Vineyards Pinot Noir,Pinot Noir,Napa,1998,,,1,,,750ml
000001025460,Curvare,Curvare,Pinot Noir,Carneros,2001,19.99,,,www.curvare.com,,750ml
000001066050,,Chateau Barde-Haut,Bordeaux,St.-Emilion,2000,,,88,,,750ml
000001112290,,Carruades de Lafite,Red Wine,Pauillac,1998,$26,,88,,,750ml
000002004402,Antinori,Guado Al Tasso Tenuta Belvedere,Red Wine,Tuscany,1995,,,,,,750ml
000002020026,Domaine de la Mordoree,,Rhone,Chateauneuf-du-Pape,1997,,,,,,750ml
000002028422,Az. Agr. Bruno Soria,Cascina del Santuario,Moscato d'Asti,Piedmont,2001,,,,,,750ml
000002068206,Fattoria di Felsina,Berardenga,Sangiovese,Chianti,1996,,,,,,750ml
000002892054,Duckhorn Vinyards,Napa Valley Merlot,Merlot,Napa,1999,,,88,,,750ml
000004000587,Goldeneye Winery,,Pinot Noir,Oregon,2002,59.00,,,,,750ml
000004062929,Sassetti Livio,Brunello Di Montalcino,Sangiovese,Brunello di Montalcino,1999,73.00,,,,Madeleine Valentines Day 2006,750ml
000004077183,Grgich Hills,,Cabernet Sauvignon,Napa,1997,120,,,,,
000004090410,,Cour-Cheverny,,Loire,2005,,,,,,
000004109242,,Chateau Ferrand Lartigue,Bordeaux,St.-Emilion,1998,45,,92,,,750ml
000004113829,Flowers,Flowers,Pinot Noir,Sonoma,2003,,,,,,750ml
000004114079,,Chateau Beau-Sejour Becot,Bordeaux,St.-Emilion,1998,54,,,,,750ml
000004115830,Chateau Lynch Bages,Grand Cru Classe,Bordeaux,Pauillac,1996,400?,,,,,3.0l
000004123507,domaine g roumier,,Rhone,Burgundy,2000,24.99,,,,,750ml
000004125303,Chateau Haut-Bergeron,Sauternes,Sauternes,Bordeaux,2000,24.99,,,,,
000004125419,Chateau Fontebride,Sauternes,Sauternes,Barsac/Sauternes,2000,24.99,,,,,750ml
000004129554,Sandrone Luciano,Dolcetto D'Alba,Dolcetto,Barolo,2004,20,,,http://www.sandroneluciano.com/uk/home.html,,750ml
000004130215,San Romano ,Dolcetto di Dogliano ,DOLCETTO,St.-Emilion,2003,20,,90,,,750ml
000004132097,Château Troplong-Mondot,St.-Emilion Grand Cru,Bordeaux,St.-Emilion,1998,49.99,,WS 93,,"Intense aromas of ripe berries, tobacco and toasted oak with mineral. Full-bodied, with well-integrated, superfine tannins and a long, long finish. Extremely sexy, yet elegant. Best after 2008. 6,665 cases made. ",750ml
000004135401,Moret-Nomine,,Chardonnay,Burgundy,2002,19.99,,,,,750ml
000004143819,Casa Vinicola Bruno Giacosa,Roero Arneis,White Wine,Piedmont,2006,18,,,,,750ml
000004143956,Bodegas Alto Moncayo SA,Alto Moncayo,Garnacha,Spain,2003,,,,,,
000004146292,Vercesi Del Castellazzo,Pezzalunga,Red,Italy Oltrepo Pavese,2006,,,,,,750ml
